a,b,c,d
738.2,866.7,11.2,8.7
587.0,439.2,10.7,7.7
317.3,228.2,8.9,6.9
242.4,397.0,8.1,7.3
300.2,493.1,8.3,8.0
449.3,1167.5,9.7,9.2
3017.7,3661.4,21.5,19.1
3555.4,5359.8,23.8,23.7
5007.0,6261.6,29.7,28.7
6791.2,8292.9,33.6,36.0
9698.8,11230.0,43.7,47.5
12450.3,12400.6,51.5,52.3
12757.2,10959.9,49.6,46.9
13914.8,13969.6,53.6,55.8
14374.0,13636.1,52.5,50.0
14267.3,14682.2,52.9,53.8
17536.5,20001.0,66.1,72.8
21475.7,22972.1,75.9,77.3
13766.6,16064.3,54.2,61.0
10256.7,11773.8,45.2,47.7
7723.7,7852.0,38.3,37.1
6595.5,3947.0,36.9,25.5
1721.4,2014.8,17.1,13.5
1702.4,1626.6,18.9,13.0
