"Vector1","Vector2","Vector3","Vector4"
551.9,7.157,601.7,10.129
283,6.384,518.1,10.082
213.1,6.606,293.4,8.61
320.4,6.923,232,8.111
457.3,7.666,291.8,8.35
1123.6,8.967,431,9.669
3457.5,18.722,2820.4,21.69
4944.1,24.682,3212,24.779
5859.2,28.228,4496.8,28.897
8017,32.599,6103,32.929
10957.5,43.766,9130.1,43.267
12284.6,48.257,12197.8,51.852
10762.3,46.218,12382.5,50.928
14235.5,52.898,13733.3,54.859
14228.6,51.605,14429.6,55.152
15210.8,54.528,14554.9,56.016
20598.2,71.134,17530.5,67.997
22989.7,83.131,21791,78.413
15622.4,59.61,13795.1,54.494
12032,50.703,10413.1,47.04
8413.9,41.902,7901.6,41.023
4513.4,32.541,6721.2,38.365
2239.4,17.021,1752.4,18.473
1678.1,15.373,1753.5,19.939
