a,b,c,d
832.2,904.3,12.1,8.9
666.5,446.6,11.4,7.5
380.2,258.1,10.2,7.3
305.6,431.3,9.6,8.1
358.5,513.4,9.5,8.6
537.5,1217.5,11.0,10.0
3410.0,3910.8,23.5,20.6
4246.3,5699.6,27.5,25.6
5777.6,6506.9,32.5,28.5
7652.6,8615.6,36.2,35.5
10806.9,11586.2,45.4,44.9
14127.7,13002.8,52.8,53.1
14386.6,11556.1,51.3,46.3
15854.3,14631.4,55.1,51.6
16787.9,14746.3,57.1,50.8
16942.4,15507.1,58.0,52.6
19768.0,20950.3,68.7,67.4
26181.0,23777.0,83.1,77.5
15877.9,16296.9,56.0,54.1
11810.9,12384.5,47.8,45.1
8917.9,8024.5,40.1,37.6
7460.2,4479.3,37.7,27.6
2145.5,2163.7,20.0,14.5
1992.6,1766.2,21.4,13.7
