a,b,c,d
708.3,843.2,11.215,8.684
560.2,411.2,10.673,6.923
307.7,215.0,8.753,6.498
236.3,372.5,8.212,6.735
288.1,477.8,8.336,7.156
427.3,1127.8,9.503,8.891
2928.2,3591.3,21.532,19.364
3254.9,5364.6,24.039,26.003
4735.0,6340.2,28.968,27.65
6218.8,8453.8,34.474,36.639
8717.1,11582.7,42.406,48.055
11306.5,13271.0,49.173,50.628
11262.8,11775.6,47.408,47.039
12318.9,15266.9,50.514,56.619
12875.1,14304.7,51.094,53.01
12953.1,15261.4,52.114,55.291
15931.7,20278.7,63.672,68.472
20096.0,23795.5,72.794,78.632
12467.0,16336.3,52.069,59.184
9368.6,12395.9,45.023,52.294
7134.3,8168.6,37.626,37.616
6281.7,4221.3,36.52,25.636
1636.4,2068.8,17.319,14.264
1677.9,1665.3,19.107,14.185
