a,b,c,d
759.1,871.5,11.443,8.447
609.9,474.2,10.963,7.602
331.1,224.2,9.26,6.628
248.4,384.2,8.45,7.015
304.1,508.5,8.55,7.491
455.8,1211.2,9.824,9.479
3110.4,3899.4,22.465,20.362
3490.5,5886.9,23.872,24.906
4951.9,6867.2,29.654,31.18
6925.8,9361.6,33.881,39.123
9877.6,12317.3,43.872,51.227
12519.9,13631.8,52.039,55.392
12578.5,11621.5,51.512,51.38
13624.1,14701.4,54.173,56.325
13886.9,14514.5,54.011,54.02
14083.1,15475.8,54.308,57.22
17372.5,20023.8,65.696,71.456
21822.8,22744.9,79.914,80.178
13720.8,16293.9,53.599,58.402
10393.5,12423.6,45.757,48.751
7743.5,7967.7,39.206,37.947
6542.2,3920.9,37.577,26.109
1677.6,2041.0,17.458,15.12
1754.6,1688.4,19.128,14.104
