a,b,c,d
722.4,858.7,11.605,8.854
580.3,424.2,11.085,8.02
309.9,224.2,8.995,7.509
240.1,390.1,8.301,8.217
292.8,495.1,8.61,8.66
452.8,1183.5,10.122,10.151
3003.7,3982.7,23.119,18.28
3536.8,5799.7,25.954,25.334
4921.7,6992.5,31.277,29.909
6572.4,9304.0,35.245,36.761
9232.5,12462.1,45.232,50.815
11719.9,13500.3,51.865,56.03
11763.6,11560.6,49.595,47.212
13116.4,14924.1,53.465,56.068
13839.4,15078.0,54.663,51.966
13893.8,15345.9,55.762,58.679
16576.0,20976.2,68.247,78.039
22612.3,23945.0,82.245,85.517
13698.9,16498.1,56.373,56.316
10333.2,12252.2,47.958,47.775
7912.5,7785.7,41.557,38.678
6777.4,4422.4,38.622,32.631
1758.3,2023.8,18.58,14.76
1788.8,1683.8,20.457,13.298
